t # 1
v 0 0
v 1 0
v 2 0
v 3 0
v 4 0
v 5 0
v 6 0
v 7 0
v 8 0
v 9 0
v 10 0
v 11 0
v 12 0
v 13 0
v 14 0
v 15 0
v 16 0
v 17 0
v 18 0
v 19 0
v 20 0
v 21 0
v 22 0
v 23 0
v 24 0
v 25 0
v 26 0
v 27 0
v 28 0
v 29 0
v 30 0
v 31 0
v 32 0
v 33 0
v 34 0
v 35 0
v 36 0
v 37 0
v 38 0
v 39 0
v 40 0
v 41 0
v 42 0
v 43 0
v 44 0
v 45 0
v 46 0
v 47 0
v 48 0
v 49 0
v 50 0
v 51 0
v 52 0
v 53 0
v 54 0
v 55 0
v 56 0
v 57 0
v 58 0
v 59 0
v 60 0
v 61 0
e 0 1 0
e 0 2 0
e 0 3 0
e 0 4 0
e 0 5 0
e 0 7 0
e 0 8 0
e 0 9 0
e 0 10 0
e 0 11 0
e 0 13 0
e 0 14 0
e 0 15 0
e 0 16 0
e 0 18 0
e 0 43 0
e 0 58 0
e 1 2 0
e 1 3 0
e 1 4 0
e 1 5 0
e 1 6 0
e 1 7 0
e 1 8 0
e 1 9 0
e 1 10 0
e 1 11 0
e 1 12 0
e 1 13 0
e 1 14 0
e 1 15 0
e 1 16 0
e 1 18 0
e 1 19 0
e 1 26 0
e 1 35 0
e 2 3 0
e 2 4 0
e 2 5 0
e 2 7 0
e 2 8 0
e 2 9 0
e 2 12 0
e 2 13 0
e 2 14 0
e 2 15 0
e 2 16 0
e 2 19 0
e 2 58 0
e 3 4 0
e 3 5 0
e 3 6 0
e 3 8 0
e 3 10 0
e 3 11 0
e 3 12 0
e 3 13 0
e 3 14 0
e 3 15 0
e 3 17 0
e 3 19 0
e 4 5 0
e 4 6 0
e 4 7 0
e 4 8 0
e 4 9 0
e 4 11 0
e 4 12 0
e 4 14 0
e 4 15 0
e 4 16 0
e 4 17 0
e 4 18 0
e 4 19 0
e 4 61 0
e 5 6 0
e 5 7 0
e 5 8 0
e 5 9 0
e 5 10 0
e 5 12 0
e 5 13 0
e 5 14 0
e 5 16 0
e 5 17 0
e 5 18 0
e 5 19 0
e 5 36 0
e 6 7 0
e 6 8 0
e 6 9 0
e 6 10 0
e 6 11 0
e 6 12 0
e 6 13 0
e 6 14 0
e 6 15 0
e 6 17 0
e 6 18 0
e 6 19 0
e 7 8 0
e 7 9 0
e 7 10 0
e 7 12 0
e 7 13 0
e 7 14 0
e 7 15 0
e 7 16 0
e 7 17 0
e 7 18 0
e 7 19 0
e 7 50 0
e 8 9 0
e 8 10 0
e 8 11 0
e 8 12 0
e 8 13 0
e 8 14 0
e 8 15 0
e 8 16 0
